myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,
Victory BusSaturday329,Victory Bus,2-28-2026,Saturday,,,,329,2023-10-11 02:02 PM,,2023-10-12 12:10 AM,9.5,9.5,,115,4568,O,02:15 PM,L,09:48 PM,7:33,453,,115,4568,L,10:40 PM,I,12:08 AM,1:28,88,"['02:15 PM', '09:48 PM', '10:40 PM', '12:08 AM', '0Hrs 52Min', 3120]","['02:15 PM', '09:48 PM', '10:40 PM', '12:08 AM', '0Hrs 52Min', 3120]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 115 SCHD: 7:33,--> O: 02:15 PM > L: 09:48 PM,RTE: 115 SCHD: 1:28,--> L: 10:40 PM > I: 12:08 AM,,,,,,,,,,,,,,,,,
Victory BusSaturday376,Victory Bus,2-28-2026,Saturday,,,,376,2023-10-11 03:55 AM,,2023-10-11 2:05 PM,9.6,9.6,,117,4601,O,04:08 AM,L,08:13 AM,4:05,245,,117,4601,L,08:34 AM,I,02:03 PM,5:29,329,"['04:08 AM', '08:13 AM', '08:34 AM', '02:03 PM', '0Hrs 21Min', 1260]","['04:08 AM', '08:13 AM', '08:34 AM', '02:03 PM', '0Hrs 21Min', 1260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 4:05,--> O: 04:08 AM > L: 08:13 AM,RTE: 117 SCHD: 5:29,--> L: 08:34 AM > I: 02:03 PM,,,,,,,,,,,,,,,,,
Victory BusSaturday377,Victory Bus,2-28-2026,Saturday,,,,377,2023-10-11 04:25 AM,,2023-10-11 2:36 PM,9.7,9.7,,117,4602,O,04:38 AM,L,08:45 AM,4:07,247,,117,4602,L,09:03 AM,I,02:34 PM,5:31,331,"['04:38 AM', '08:45 AM', '09:03 AM', '02:34 PM', '0Hrs 18Min', 1080]","['04:38 AM', '08:45 AM', '09:03 AM', '02:34 PM', '0Hrs 18Min', 1080]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 4:07,--> O: 04:38 AM > L: 08:45 AM,RTE: 117 SCHD: 5:31,--> L: 09:03 AM > I: 02:34 PM,,,,,,,,,,,,,,,,,
Victory BusSaturday378,Victory Bus,2-28-2026,Saturday,,,,378,2023-10-11 04:55 AM,,2023-10-11 2:21 PM,8.8,8.8,,117,4603,O,05:08 AM,L,11:54 AM,6:46,406,,117,4603,L,12:30 PM,I,02:19 PM,1:49,109,"['05:08 AM', '11:54 AM', '12:30 PM', '02:19 PM', '0Hrs 36Min', 2160]","['05:08 AM', '11:54 AM', '12:30 PM', '02:19 PM', '0Hrs 36Min', 2160]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 6:46,--> O: 05:08 AM > L: 11:54 AM,RTE: 117 SCHD: 1:49,--> L: 12:30 PM > I: 02:19 PM,,,,,,,,,,,,,,,,,
Victory BusSaturday379,Victory Bus,2-28-2026,Saturday,,,,379,2023-10-11 05:12 AM,,2023-10-11 1:33 PM,7.8,8.0,,117,4604,O,05:25 AM,L,07:43 AM,2:18,138,,117,4604,L,08:04 AM,I,01:31 PM,5:27,327,"['05:25 AM', '07:43 AM', '08:04 AM', '01:31 PM', '0Hrs 21Min', 1260]","['05:25 AM', '07:43 AM', '08:04 AM', '01:31 PM', '0Hrs 21Min', 1260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 2:18,--> O: 05:25 AM > L: 07:43 AM,RTE: 117 SCHD: 5:27,--> L: 08:04 AM > I: 01:31 PM,,,,,,,,,,,,,,,,,
Victory BusSaturday380,Victory Bus,2-28-2026,Saturday,,,,380,2023-10-11 05:25 AM,,2023-10-11 2:51 PM,8.8,8.8,,117,4605,O,05:38 AM,L,12:25 PM,6:47,407,,117,4605,L,01:00 PM,I,02:49 PM,1:49,109,"['05:38 AM', '12:25 PM', '01:00 PM', '02:49 PM', '0Hrs 35Min', 2100]","['05:38 AM', '12:25 PM', '01:00 PM', '02:49 PM', '0Hrs 35Min', 2100]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 6:47,--> O: 05:38 AM > L: 12:25 PM,RTE: 117 SCHD: 1:49,--> L: 01:00 PM > I: 02:49 PM,,,,,,,,,,,,,,,,,
Victory BusSaturday381,Victory Bus,2-28-2026,Saturday,,,,381,2023-10-11 11:12 AM,,2023-10-11 7:27 PM,7.6,8.0,,117,4606,O,11:25 AM,L,02:30 PM,3:05,185,,117,4606,L,02:59 PM,I,07:25 PM,4:26,266,"['11:25 AM', '02:30 PM', '02:59 PM', '07:25 PM', '0Hrs 29Min', 1740]","['11:25 AM', '02:30 PM', '02:59 PM', '07:25 PM', '0Hrs 29Min', 1740]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 3:05,--> O: 11:25 AM > L: 02:30 PM,RTE: 117 SCHD: 4:26,--> L: 02:59 PM > I: 07:25 PM,,,,,,,,,,,,,,,,,
Victory BusSaturday382,Victory Bus,2-28-2026,Saturday,,,,382,2023-10-11 12:42 PM,,2023-10-11 11:27 PM,10.1,10.1,,117,4607,O,12:55 PM,L,06:55 PM,6:00,360,,117,4607,L,07:29 PM,I,11:25 PM,3:56,236,"['12:55 PM', '06:55 PM', '07:29 PM', '11:25 PM', '0Hrs 34Min', 2040]","['12:55 PM', '06:55 PM', '07:29 PM', '11:25 PM', '0Hrs 34Min', 2040]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 6:00,--> O: 12:55 PM > L: 06:55 PM,RTE: 117 SCHD: 3:56,--> L: 07:29 PM > I: 11:25 PM,,,,,,,,,,,,,,,,,
Victory BusSaturday383,Victory Bus,2-28-2026,Saturday,,,,383,2023-10-11 12:45 PM,,2023-10-11 11:46 PM,10.3,10.3,,117,4608,O,12:58 PM,L,05:57 PM,4:59,299,,117,4608,L,06:28 PM,CG,09:13 PM,2:45,165,,114,4608,CG,09:13 PM,I,11:44 PM,2:31,151,"['12:58 PM', '05:57 PM', '06:28 PM', '11:44 PM', '0Hrs 31Min', 1860]","['12:58 PM', '05:57 PM', '06:28 PM', '11:44 PM', '0Hrs 31Min', 1860]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 4:59,--> O: 12:58 PM > L: 05:57 PM,RTE: 117 SCHD: 2:45,--> L: 06:28 PM > CG: 09:13 PM,RTE: 114 SCHD: 2:31,--> CG: 09:13 PM > I: 11:44 PM,,,,,,,,,,,,,,,
Victory BusSaturday384,Victory Bus,2-28-2026,Saturday,,,,384,2023-10-11 01:12 PM,,2023-10-11 9:26 PM,7.6,8.0,,117,4609,O,01:25 PM,L,07:21 PM,5:56,356,,117,4609,L,07:58 PM,I,09:24 PM,1:26,86,"['01:25 PM', '07:21 PM', '07:58 PM', '09:24 PM', '0Hrs 37Min', 2220]","['01:25 PM', '07:21 PM', '07:58 PM', '09:24 PM', '0Hrs 37Min', 2220]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 117 SCHD: 5:56,--> O: 01:25 PM > L: 07:21 PM,RTE: 117 SCHD: 1:26,--> L: 07:58 PM > I: 09:24 PM,,,,,,,,,,,,,,,,,
