myid,depot,eff_date,day,pullout2,swingdur,swingdursec,runno,start,arrive,finish,worktime,pay,leave,r1,b1,potype1,pot1,pitype1,pit1,stime1,stimeint1,start22,r2,b2,potype2,pot2,pitype2,pit2,stime2,stimeint2,start23,r3,b3,potype3,pot3,pitype3,pit3,stime3,stimeint3,start24,r4,b4,potype4,pot4,pitype4,pit4,stime4,stimeint4,start25,r5,b5,potype5,pot5,pitype5,pit5,stime5,stimeint5,start26,r6,b6,potype6,pot6,pitype6,pit6,stime6,stimeint6,start27,r7,b7,potype7,pot7,pitype7,pit7,stime7,stimeint7,start28,r8,b8,potype8,pot8,pitype8,pit8,stime8,stimeint8,start29,r9,b9,potype9,pot9,pitype9,pit9,stime9,stimeint9,start210,r10,b10,potype10,pot10,pitype10,pit10,stime10,stimeint10,sum1, sum12,sum2, sum22,sum3, sum32,sum4, sum42,sum5, sum52,sum6, sum62,sum7, sum72,sum8, sum82,sum9, sum92,sum10, sum102,,
Victory BusSunday76,Victory Bus,3-01-2026,Sunday,,,,76,2023-10-11 06:14 AM,,2023-10-11 3:42 PM,8.9,8.9,,105,4301,O,06:27 AM,CG,08:00 AM,1:33,93,,103,4301,CG,08:00 AM,CG,08:30 AM,0:30,30,,105,4301,CG,08:30 AM,L,09:35 AM,1:05,65,,105,4301,L,10:00 AM,CG,10:00 AM,0:00,0,,103,4301,CG,10:00 AM,CG,10:30 AM,0:30,30,,105,4301,CG,10:30 AM,CG,12:00 PM,1:30,90,,103,4301,CG,12:00 PM,CG,12:30 PM,0:30,30,,105,4301,CG,12:30 PM,CG,02:00 PM,1:30,90,,103,4301,CG,02:00 PM,CG,02:30 PM,0:30,30,,105,4301,CG,02:30 PM,I,03:40 PM,1:10,70,"['06:27 AM', '09:35 AM', '10:00 AM', '03:40 PM', '0Hrs 25Min', 1500]","['06:27 AM', '09:35 AM', '10:00 AM', '03:40 PM', '0Hrs 25Min', 1500]",RTE: 105 SCHD: 1:33,--> O: 06:27 AM > CG: 08:00 AM,RTE: 103 SCHD: 0:30,--> CG: 08:00 AM > CG: 08:30 AM,RTE: 105 SCHD: 1:05,--> CG: 08:30 AM > L: 09:35 AM,RTE: 105 SCHD: 0:00,--> L: 10:00 AM > CG: 10:00 AM,RTE: 103 SCHD: 0:30,--> CG: 10:00 AM > CG: 10:30 AM,RTE: 105 SCHD: 1:30,--> CG: 10:30 AM > CG: 12:00 PM,RTE: 103 SCHD: 0:30,--> CG: 12:00 PM > CG: 12:30 PM,RTE: 105 SCHD: 1:30,--> CG: 12:30 PM > CG: 02:00 PM,RTE: 103 SCHD: 0:30,--> CG: 02:00 PM > CG: 02:30 PM,RTE: 105 SCHD: 1:10,--> CG: 02:30 PM > I: 03:40 PM
Victory BusSunday77,Victory Bus,3-01-2026,Sunday,,,,77,2023-10-11 03:14 PM,,2023-10-11 11:56 PM,8.1,8.1,,105,4302,O,03:27 PM,CG,05:00 PM,1:33,93,,103,4302,CG,05:00 PM,CG,05:30 PM,0:30,30,,105,4302,CG,05:30 PM,CG,07:00 PM,1:30,90,,103,4302,CG,07:00 PM,CG,07:30 PM,0:30,30,,105,4302,CG,07:30 PM,L,08:32 PM,1:02,62,,105,4302,L,09:00 PM,CG,09:00 PM,0:00,0,,103,4302,CG,09:00 PM,CG,09:30 PM,0:30,30,,105,4302,CG,09:30 PM,I,11:54 PM,2:24,144,"['03:27 PM', '08:32 PM', '09:00 PM', '11:54 PM', '0Hrs 28Min', 1680]","['03:27 PM', '08:32 PM', '09:00 PM', '11:54 PM', '0Hrs 28Min', 1680]",,,,,,,,,,,,,,,,,RTE: 105 SCHD: 1:33,--> O: 03:27 PM > CG: 05:00 PM,RTE: 103 SCHD: 0:30,--> CG: 05:00 PM > CG: 05:30 PM,RTE: 105 SCHD: 1:30,--> CG: 05:30 PM > CG: 07:00 PM,RTE: 103 SCHD: 0:30,--> CG: 07:00 PM > CG: 07:30 PM,RTE: 105 SCHD: 1:02,--> CG: 07:30 PM > L: 08:32 PM,RTE: 105 SCHD: 0:00,--> L: 09:00 PM > CG: 09:00 PM,RTE: 103 SCHD: 0:30,--> CG: 09:00 PM > CG: 09:30 PM,RTE: 105 SCHD: 2:24,--> CG: 09:30 PM > I: 11:54 PM,,,,,,
Victory BusSunday151,Victory Bus,3-01-2026,Sunday,,,,151,2023-10-11 02:20 AM,,2023-10-11 11:05 AM,8.1,8.1,,108,4355,O,02:33 AM,L,04:34 AM,2:01,121,,108,4355,L,05:15 AM,I,11:03 AM,5:48,348,"['02:33 AM', '04:34 AM', '05:15 AM', '11:03 AM', '0Hrs 41Min', 2460]","['02:33 AM', '04:34 AM', '05:15 AM', '11:03 AM', '0Hrs 41Min', 2460]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 2:01,--> O: 02:33 AM > L: 04:34 AM,RTE: 108 SCHD: 5:48,--> L: 05:15 AM > I: 11:03 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday152,Victory Bus,3-01-2026,Sunday,,,,152,2023-10-11 03:15 AM,,2023-10-11 11:36 AM,7.8,8.0,,108,4356,O,03:28 AM,L,07:24 AM,3:56,236,,108,4356,L,07:45 AM,I,11:34 AM,3:49,229,"['03:28 AM', '07:24 AM', '07:45 AM', '11:34 AM', '0Hrs 21Min', 1260]","['03:28 AM', '07:24 AM', '07:45 AM', '11:34 AM', '0Hrs 21Min', 1260]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 3:56,--> O: 03:28 AM > L: 07:24 AM,RTE: 108 SCHD: 3:49,--> L: 07:45 AM > I: 11:34 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday153,Victory Bus,3-01-2026,Sunday,,,,153,2023-10-11 04:15 AM,,2023-10-11 2:38 PM,9.7,9.7,,108,4357,O,04:28 AM,L,06:14 AM,1:46,106,,108,4357,L,06:45 AM,I,02:36 PM,7:51,471,"['04:28 AM', '06:14 AM', '06:45 AM', '02:36 PM', '0Hrs 31Min', 1860]","['04:28 AM', '06:14 AM', '06:45 AM', '02:36 PM', '0Hrs 31Min', 1860]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 1:46,--> O: 04:28 AM > L: 06:14 AM,RTE: 108 SCHD: 7:51,--> L: 06:45 AM > I: 02:36 PM,,,,,,,,,,,,,,,,,,
Victory BusSunday154,Victory Bus,3-01-2026,Sunday,,,,154,2023-10-11 11:23 AM,,2023-10-11 10:46 PM,10.7,10.7,,108,4358,O,11:36 AM,L,04:03 PM,4:27,267,,108,4358,L,05:30 PM,CG,05:30 PM,0:00,0,,125,4358,CG,05:30 PM,I,10:44 PM,5:14,314,"['11:36 AM', '04:03 PM', '05:30 PM', '10:44 PM', '1Hrs 27Min', 5220]","['11:36 AM', '04:03 PM', '05:30 PM', '10:44 PM', '1Hrs 27Min', 5220]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 4:27,--> O: 11:36 AM > L: 04:03 PM,RTE: 108 SCHD: 0:00,--> L: 05:30 PM > CG: 05:30 PM,RTE: 125 SCHD: 5:14,--> CG: 05:30 PM > I: 10:44 PM,,,,,,,,,,,,,,,,
Victory BusSunday155,Victory Bus,3-01-2026,Sunday,,,,155,2023-10-11 03:23 PM,,2023-10-12 1:33 AM,9.7,9.7,,108,4359,O,03:36 PM,L,09:27 PM,5:51,351,,108,4359,L,09:45 PM,I,01:31 AM,3:46,226,"['03:36 PM', '09:27 PM', '09:45 PM', '01:31 AM', '0Hrs 18Min', 1080]","['03:36 PM', '09:27 PM', '09:45 PM', '01:31 AM', '0Hrs 18Min', 1080]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 5:51,--> O: 03:36 PM > L: 09:27 PM,RTE: 108 SCHD: 3:46,--> L: 09:45 PM > I: 01:31 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday156,Victory Bus,3-01-2026,Sunday,,,,156,2023-10-11 03:53 PM,,2023-10-12 12:33 AM,8.0,8.0,,108,4360,O,04:06 PM,L,06:04 PM,1:58,118,,108,4360,L,06:45 PM,I,12:31 AM,5:46,346,"['04:06 PM', '06:04 PM', '06:45 PM', '12:31 AM', '0Hrs 41Min', 2460]","['04:06 PM', '06:04 PM', '06:45 PM', '12:31 AM', '0Hrs 41Min', 2460]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 1:58,--> O: 04:06 PM > L: 06:04 PM,RTE: 108 SCHD: 5:46,--> L: 06:45 PM > I: 12:31 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday157,Victory Bus,3-01-2026,Sunday,,,,157,2023-10-11 04:53 PM,,2023-10-12 3:41 AM,10.1,10.1,,108,4361,O,05:06 PM,L,12:56 AM,7:50,470,,108,4361,L,01:40 AM,I,03:39 AM,1:59,119,"['05:06 PM', '12:56 AM', '01:40 AM', '03:39 AM', '0Hrs 44Min', 2640]","['05:06 PM', '12:56 AM', '01:40 AM', '03:39 AM', '0Hrs 44Min', 2640]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 7:50,--> O: 05:06 PM > L: 12:56 AM,RTE: 108 SCHD: 1:59,--> L: 01:40 AM > I: 03:39 AM,,,,,,,,,,,,,,,,,,
Victory BusSunday158,Victory Bus,3-01-2026,Sunday,,,,158,2023-10-11 05:53 PM,,2023-10-12 2:32 AM,8.2,8.2,,108,4362,O,06:06 PM,L,09:57 PM,3:51,231,,108,4362,L,10:15 PM,I,02:30 AM,4:15,255,"['06:06 PM', '09:57 PM', '10:15 PM', '02:30 AM', '0Hrs 18Min', 1080]","['06:06 PM', '09:57 PM', '10:15 PM', '02:30 AM', '0Hrs 18Min', 1080]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RTE: 108 SCHD: 3:51,--> O: 06:06 PM > L: 09:57 PM,RTE: 108 SCHD: 4:15,--> L: 10:15 PM > I: 02:30 AM,,,,,,,,,,,,,,,,,,
